+----------------------------------------------------------------------------------------------------------------------+------+
|                                                        title                                                         | year |
| Letters from the Desert (Eulogy to Slowness)                                                                         | 2010 |
| Adrift: People of a Lesser God                                                                                       | 2010 |
| Free Wheels East                                                                                                     | 2010 |
| Rouge ciel                                                                                                           | 2010 |
| Rush: Beyond the Lighted Stage                                                                                       | 2010 |
| Chosin                                                                                                               | 2010 |
| Deconstructing Dad: The Music, Machines and Mystery of Raymond Scott                                                 | 2010 |
| Natarang                                                                                                             | 2010 |
| Thespians                                                                                                            | 2010 |
| Go West Happy Cow                                                                                                    | 2010 |
| Voces del subterráneo                                                                                                | 2010 |
| Coals to Newcastle: the New Mastersounds, from Leeds to New Orleans                                                  | 2010 |
| National Theatre Live: The Habit of Art                                                                              | 2010 |
| God of War: Unearthing the Legend Franchise Documentary                                                              | 2010 |
| The Inquisition                                                                                                      | 2010 |
| Comando e controllo                                                                                                  | 2010 |
| The Seattle Pilots: Short Flight Into History                                                                        | 2010 |
| Novembre                                                                                                             | 2010 |
| Giorgione da Castelfranco, sulle tracce del genio                                                                    | 2010 |
| Fire in the Heartland: Kent State, May 4, and Student Protest in America (2020)                                      | 2010 |
| The Man of a Thousand Songs                                                                                          | 2010 |
| Trans Francisco                                                                                                      | 2010 |
| Finding Nico                                                                                                         | 2010 |
| Dudamel: Let the Children Play                                                                                       | 2010 |
| Amber Rose                                                                                                           | 2010 |
| The Heart That Beats                                                                                                 | 2010 |
| Radiohead Live in Praha                                                                                              | 2010 |
| Suika                                                                                                                | 2010 |
| The Last First Comic                                                                                                 | 2010 |
| Brent Houzenga: Hybrid Pioneer                                                                                       | 2010 |
| La Rosi                                                                                                              | 2010 |
| Uno scrittore al fronte                                                                                              | 2010 |
| Heart 2 Heart                                                                                                        | 2010 |
| Highland Fling                                                                                                       | 2010 |
| Le coeur d'Auschwitz                                                                                                 | 2010 |
| Hermoso Silencio                                                                                                     | 2010 |
| Numb                                                                                                                 | 2010 |
| 77 Steps                                                                                                             | 2010 |
| National Theatre Live: A Disappearing Number                                                                         | 2010 |
| The Great Intervention                                                                                               | 2010 |
| Green Day: 21st Century Breakdown                                                                                    | 2010 |
| Chickens in the Shadows                                                                                              | 2010 |
| The War You Don't See                                                                                                | 2010 |
| When Playboys Ruled the World                                                                                        | 2010 |
| Life Cycles                                                                                                          | 2010 |
| Gu Nainai                                                                                                            | 2010 |
| Justice for Sergei                                                                                                   | 2010 |
| El Bulli - Historia de un sueño                                                                                      | 2010 |
| Macaframa                                                                                                            | 2010 |
| Sea the Truth                                                                                                        | 2010 |
| Let's Run Away from Her                                                                                              | 2010 |
| Min pinlige familie og mutantdræbersneglene                                                                          | 2010 |
| Animals, Whores & Dialogue: Breakfast with Hunter Vol. 2                                                             | 2010 |
| Bruce Springsteen & the E Street Band Houston '78 Bootleg: House Cut                                                 | 2010 |
| Christmas Train Spectacular                                                                                          | 2010 |
| Jeffie Was Here                                                                                                      | 2010 |
| Loengrins no varka kru                                                                                               | 2010 |
| Incendies                                                                                                            | 2010 |
| Eddie Macken: True Legend                                                                                            | 2010 |
| The American Buffalo                                                                                                 | 2010 |
| The Illustrator                                                                                                      | 2010 |
| The Klezmatics: On Holy Ground                                                                                       | 2010 |
| My Father from Haifa                                                                                                 | 2010 |
| Arias with a Twist                                                                                                   | 2010 |
| Awka Liwen                                                                                                           | 2010 |
| Raw Faith                                                                                                            | 2010 |
| Wicked Bad                                                                                                           | 2010 |
| We Are the Sea                                                                                                       | 2010 |
| William Krisel, Architect                                                                                            | 2010 |
| The Reconstruction of Asa Carter                                                                                     | 2010 |
| A Surprise in Texas                                                                                                  | 2010 |
| Eskrimadors                                                                                                          | 2010 |
| Working It Out                                                                                                       | 2010 |
